"Id","HomeTeam","HomeScore","AwayTeam","AwayScore","LineProvider","OverUnder","Spread","FormattedSpread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"401540069","Holy Cross","35","Lafayette","38","William Hill (New Jersey)","52","-14.5","Holy Cross -14.5","","","",""
"401520401","Alabama","66","Chattanooga","10","ESPN Bet","54.5","-44.5","Alabama -44.5","","","",""
"401520420","Texas A&M","38","Abilene Christian","10","ESPN Bet","54.5","-40.5","Texas A&M -40.5","","","",""
"401520421","Connecticut","31","Sacred Heart","3","ESPN Bet","40.5","-25.5","Connecticut -25.5","","","",""
"401540011","Central Connecticut","14","St Francis (PA)","49","ESPN Bet","57.5","7","St Francis (PA) -7","","","",""
"401540019","Merrimack","14","Duquesne","26","ESPN Bet","55.5","-2.5","Merrimack -2.5","","","",""
"401540064","Holy Cross","31","Georgetown","10","ESPN Bet","64.5","-21","Holy Cross -21","","","",""
"401525830","Oklahoma","28","SMU","11","William Hill (New Jersey)","69","-16","Oklahoma -16","","","",""
"401525830","Oklahoma","28","SMU","11","Bovada","68.5","-16.5","Oklahoma -16.5","-14.0","70.5","-950","600"
"401525830","Oklahoma","28","SMU","11","DraftKings","68.5","-16.5","Oklahoma -16.5","-16","68.5","-750","525"
"401520314","Florida International","14","UTEP","27","William Hill (New Jersey)","42.5","-3.5","Florida International -3.5","","","",""
"401520314","Florida International","14","UTEP","27","Bovada","43.0","-3.5","Florida International -3.5","1.5","44.0","-105","-115"
"401520314","Florida International","14","UTEP","27","DraftKings","44","1.5","UTEP -1.5","1.5","44","-180","-120"
"401520315","New Mexico State","27","Sam Houston State","13","William Hill (New Jersey)","42.5","-3.5","New Mexico State -3.5","","","",""
"401520315","New Mexico State","27","Sam Houston State","13","Bovada","42.5","-4.0","New Mexico State -4.0","-6.0","43.0","-170","145"
"401520315","New Mexico State","27","Sam Houston State","13","DraftKings","43","-4.5","New Mexico State -4.5","-4.5","43","-192","164"
"401540213","McNeese","34","Tarleton State","52","Bovada","54.5","3.5","Tarleton State -3.5","-1.5","54.5","",""
"401531371","Memphis","21","Tulane","31","William Hill (New Jersey)","55","5","Tulane -5","","","",""
"401531371","Memphis","21","Tulane","31","DraftKings","57","3.5","Tulane -3.5","3","","170","-170"
"401531371","Memphis","21","Tulane","31","Bovada","54.5","4.5","Tulane -4.5","3.0","56.5","135","-160"
"401524029","Colorado","43","Stanford","46","William Hill (New Jersey)","58.5","-13.5","Colorado -13.5","","","",""
"401524029","Colorado","43","Stanford","46","DraftKings","59","-11.5","Colorado -11.5","-15","","-520","340"
"401524029","Colorado","43","Stanford","46","Bovada","59.0","-13.0","Colorado -13.0","-11.5","59.0","-460","340"
"401520327","Vanderbilt","20","Georgia","37","William Hill (New Jersey)","55","32.5","Georgia -32.5","","","",""
